year,month,day,open,close,high,low,volume
2021,08,30,"2,448.50","2,461.00","2,477.00","2,448.50",355.00
2021,08,27,"2,411.50","2,430.50","2,430.50","2,411.50",263.00
2021,08,26,"2,415.00","2,419.50","2,422.00","2,409.50",198.00
2021,08,25,"2,413.00","2,412.50","2,418.50","2,407.00",213.00
2021,08,24,"2,393.50","2,407.00","2,413.00","2,391.00",394.00
2021,08,23,"2,357.50","2,398.00","2,400.00","2,348.00",435.00
2021,08,20,"2,321.50","2,345.50","2,350.00","2,305.50",208.00
2021,08,19,"2,316.50","2,324.50","2,332.00","2,288.00",419.00
2021,08,18,"2,336.50","2,337.50","2,340.50","2,328.00",293.00
2021,08,17,"2,348.00","2,324.00","2,350.00","2,324.00",227.00
2021,08,16,"2,338.50","2,314.00","2,340.00","2,297.00",255.00
2021,08,13,"2,335.00","2,333.50","2,347.50","2,328.50",265.00
2021,08,12,"2,326.00","2,331.50","2,333.00","2,315.00",278.00
2021,08,11,"2,340.00","2,329.00","2,341.50","2,326.00",234.00
2021,08,10,"2,343.50","2,339.00","2,349.50","2,326.50",268.00
2021,08,09,"2,312.00","2,325.50","2,325.50","2,307.00",279.00
2021,08,06,"2,305.00","2,308.00","2,316.00","2,304.00",453.00
2021,08,05,"2,292.50","2,297.00","2,297.00","2,277.50",356.00
2021,08,04,"2,294.50","2,286.00","2,294.50","2,273.50",348.00
2021,08,03,"2,280.00","2,281.00","2,283.00","2,250.50",204.00
2021,08,02,"2,288.50","2,271.00","2,289.50","2,254.50",208.00
2021,07,30,"2,278.50","2,272.00","2,278.50","2,259.00",221.00
2021,07,29,"2,298.50","2,285.00","2,307.50","2,285.00",211.00
2021,07,28,"2,305.50","2,310.00","2,342.00","2,295.50",471.00
2021,07,27,"2,277.00","2,203.50","2,285.50","2,200.00",366.00
2021,07,26,"2,265.00","2,250.00","2,275.50","2,245.50",286.00
2021,07,23,"2,202.50","2,260.00","2,260.00","2,193.00",225.00
2021,07,22,"2,163.50","2,176.50","2,178.00","2,163.00",252.00
2021,07,21,"2,150.00","2,148.50","2,155.00","2,140.50",128.00
2021,07,20,"2,127.50","2,144.50","2,146.50","2,120.50",321.00
2021,07,19,"2,152.00","2,114.00","2,154.00","2,099.50",204.00
2021,07,16,"2,150.50","2,149.00","2,162.50","2,138.00",205.00
2021,07,15,"2,170.00","2,151.00","2,184.00","2,146.50",382.00
2021,07,14,"2,161.00","2,171.50","2,187.50","2,160.50",283.00
2021,07,13,"2,144.00","2,154.00","2,165.50","2,144.00",339.00
2021,07,12,"2,121.00","2,131.50","2,132.00","2,117.00",615.00
2021,07,09,"2,107.00","2,113.00","2,124.00","2,100.00",302.00
2021,07,08,"2,139.50","2,120.00","2,140.50","2,094.00",414.00
2021,07,07,"2,137.00","2,147.50","2,158.50","2,135.00",272.00
2021,07,06,"2,115.00","2,127.00","2,130.50","2,108.00",308.00
2021,07,05,"2,118.50","2,116.50","2,118.50","2,108.50",222.00
2021,07,02,"2,062.50","2,108.50","2,108.50","2,062.50",302.00
2021,07,01,"2,065.00","2,057.00","2,070.50","2,054.00",227.00
2021,06,30,"2,050.00","2,054.00","2,062.50","2,049.00",177.00
2021,06,29,"2,060.00","2,046.50","2,065.00","2,045.00",177.00
2021,06,28,"2,061.50","2,036.00","2,062.50","2,036.00",191.00
2021,06,25,"2,053.00","2,042.00","2,058.00","2,037.50",139.00
2021,06,24,"2,052.00","2,057.50","2,060.00","2,050.00",273.00
2021,06,23,"2,058.50","2,047.00","2,058.50","2,045.00",272.00
2021,06,22,"2,049.50","2,038.50","2,053.50","2,036.00",93.00
2021,06,21,"2,025.50","2,040.50","2,040.50","2,020.00",192.00
2021,06,18,"2,053.00","2,035.00","2,054.00","2,029.00",222.00
2021,06,17,"2,003.00","2,054.00","2,054.00","2,003.00",261.00
2021,06,16,"2,002.00","1,995.60","2,012.50","1,988.00",275.00
2021,06,15,"2,015.00","2,008.50","2,028.50","2,006.50",245.00
2021,06,14,"2,025.00","2,000.00","2,025.00","1,995.40",334.00
2021,06,11,"2,000.00","2,010.00","2,017.00","1,996.20",282.00
2021,06,10,"1,977.60","1,991.60","1,995.80","1,971.80",137.00
2021,06,09,"1,975.00","1,981.20","1,981.20","1,968.00",167.00
2021,06,08,"1,970.00","1,977.40","1,987.80","1,970.00",183.00
2021,06,07,"1,966.00","1,969.00","1,969.00","1,955.20",215.00
2021,06,04,"1,935.00","1,968.00","1,969.40","1,931.60",199.00
2021,06,03,"1,945.80","1,931.40","1,948.20","1,920.00",131.00
2021,06,02,"1,943.00","1,932.40","1,959.60","1,932.40",77.00
2021,06,01,"1,931.20","1,936.80","1,943.80","1,926.00",168.00
2021,05,31,"1,935.40","1,934.60","1,941.60","1,927.60",126.00
2021,05,28,"1,964.80","1,940.80","1,964.80","1,940.80",194.00
2021,05,27,"1,950.80","1,954.20","1,954.60","1,941.60",238.00
2021,05,26,"1,936.00","1,957.60","1,957.60","1,931.60",209.00
2021,05,25,"1,939.80","1,934.00","1,940.60","1,928.60",238.00
2021,05,21,"1,890.00","1,885.80","1,902.00","1,883.40",159.00
2021,05,20,"1,873.40","1,885.00","1,887.20","1,864.00",236.00
2021,05,19,"1,849.60","1,849.20","1,849.60","1,824.80",212.00
2021,05,18,"1,890.40","1,875.20","1,894.60","1,872.40",406.00
2021,05,17,"1,883.20","1,873.20","1,883.20","1,859.80",135.00
2021,05,14,"1,861.80","1,871.40","1,871.40","1,851.60",494.00
2021,05,13,"1,827.00","1,831.00","1,850.20","1,805.40",453.00
2021,05,12,"1,860.20","1,825.20","1,874.20","1,825.20",292.00
2021,05,11,"1,875.00","1,860.00","1,875.00","1,840.80",652.00
2021,05,10,"1,941.80","1,894.40","1,941.80","1,880.00",288.00
2021,05,07,"1,939.80","1,947.60","1,954.40","1,934.40",398.00
2021,05,06,"1,928.20","1,929.00","1,939.20","1,904.80",457.00
2021,05,05,"1,913.40","1,935.80","1,936.20","1,913.20",332.00
2021,05,04,"1,935.00","1,887.00","1,952.40","1,880.00",500.00
2021,05,03,"1,980.00","1,947.20","1,980.00","1,947.20",532.00
2021,04,30,"1,964.00","1,965.00","1,974.60","1,957.60",275.00
2021,04,29,"1,964.80","1,961.80","1,981.20","1,955.40",400.00
2021,04,28,"1,974.40","1,972.80","2,010.00","1,961.60",887.00
2021,04,27,"1,916.40","1,901.00","1,922.40","1,897.20",249.00
2021,04,26,"1,903.00","1,915.00","1,920.40","1,894.20",227.00
2021,04,23,"1,870.00","1,905.80","1,909.60","1,870.00",251.00
2021,04,22,"1,890.00","1,896.60","1,900.00","1,886.60",132.00
2021,04,21,"1,885.00","1,881.60","1,899.60","1,867.00",221.00
2021,04,20,"1,903.00","1,890.00","1,906.00","1,882.00",344.00
2021,04,19,"1,911.20","1,898.20","1,911.60","1,890.00",246.00
2021,04,16,"1,905.00","1,900.00","1,911.00","1,898.00",200.00
2021,04,15,"1,880.00","1,915.00","1,915.00","1,875.20",161.00
2021,04,14,"1,883.80","1,883.40","1,895.00","1,883.20",274.00
2021,04,13,"1,891.80","1,883.40","1,894.20","1,882.20",190.00
2021,04,12,"1,900.20","1,873.80","1,908.40","1,873.80",224.00
2021,04,09,"1,896.80","1,899.00","1,900.00","1,886.00",734.00
2021,04,08,"1,904.40","1,884.60","1,906.00","1,884.40",486.00
2021,04,07,"1,860.00","1,875.60","1,879.20","1,857.20",264.00
2021,04,06,"1,876.20","1,869.80","1,881.40","1,860.20",654.00
2021,04,01,"1,765.40","1,800.80","1,802.00","1,765.40",205.00
2021,03,31,"1,745.00","1,775.00","1,775.00","1,735.40",316.00
2021,03,30,"1,747.20","1,747.20","1,752.80","1,743.60",303.00
2021,03,29,"1,705.00","1,733.20","1,740.00","1,705.00",362.00
2021,03,26,"1,733.40","1,701.80","1,733.40","1,701.80",174.00
2021,03,25,"1,725.20","1,717.80","1,726.40","1,698.40",191.00
2021,03,24,"1,722.00","1,728.20","1,744.80","1,722.00",66.00
2021,03,23,"1,705.80","1,727.20","1,729.40","1,701.60",167.00
2021,03,22,"1,717.80","1,712.20","1,717.80","1,692.00",394.00
2021,03,19,"1,700.00","1,707.00","1,712.20","1,688.20",283.00
2021,03,18,"1,760.00","1,705.60","1,760.00","1,705.60",271.00
2021,03,17,"1,745.60","1,731.20","1,754.20","1,720.80",475.00
2021,03,16,"1,730.00","1,743.60","1,773.20","1,726.80",269.00
2021,03,15,"1,715.00","1,715.00","1,729.00","1,703.00",311.00
2021,03,12,"1,750.00","1,717.20","1,750.00","1,712.00",280.00
2021,03,11,"1,725.00","1,753.80","1,753.80","1,721.20",758.00
2021,03,10,"1,713.20","1,711.80","1,734.20","1,700.00",735.00
2021,03,09,"1,704.60","1,729.00","1,733.20","1,702.40",368.00
2021,03,08,"1,751.80","1,720.60","1,772.80","1,720.60",396.00
2021,03,05,"1,709.80","1,712.60","1,734.80","1,688.80",348.00
2021,03,04,"1,655.00","1,683.80","1,714.40","1,655.00",536.00
2021,03,03,"1,725.00","1,677.60","1,725.00","1,677.60",198.00
2021,03,02,"1,715.00","1,717.40","1,725.40","1,708.60",287.00
2021,03,01,"1,704.60","1,709.20","1,710.60","1,694.00",159.00
2021,02,26,"1,642.00","1,689.20","1,689.20","1,635.40",678.00
2021,02,25,"1,723.00","1,663.40","1,723.00","1,645.80",127.00
2021,02,24,"1,683.80","1,711.60","1,711.60","1,681.00",307.00
2021,02,23,"1,695.00","1,677.40","1,695.00","1,648.00",630.00
2021,02,22,"1,722.00","1,699.80","1,722.00","1,690.00",260.00
2021,02,19,"1,742.20","1,727.60","1,746.00","1,727.60",240.00
2021,02,18,"1,755.00","1,740.20","1,757.60","1,734.80",391.00
2021,02,17,"1,750.00","1,761.40","1,764.20","1,737.60",263.00
2021,02,16,"1,740.20","1,755.20","1,770.00","1,732.20",273.00
2021,02,15,"1,735.00","1,741.80","1,749.60","1,729.60",465.00
2021,02,12,"1,720.00","1,725.00","1,731.00","1,715.20",199.00
2021,02,11,"1,719.80","1,714.60","1,729.80","1,704.40",151.00
2021,02,10,"1,716.40","1,717.20","1,725.40","1,703.20",254.00
2021,02,09,"1,730.80","1,725.00","1,732.00","1,714.80",276.00
2021,02,08,"1,748.60","1,726.60","1,750.00","1,724.40",424.00
2021,02,05,"1,719.80","1,730.80","1,732.20","1,711.20",334.00
2021,02,04,"1,721.20","1,715.00","1,726.60","1,700.00",451.00
2021,02,03,"1,712.00","1,740.60","1,740.60","1,693.20",866.00
2021,02,02,"1,584.80","1,603.60","1,616.00","1,580.20",850.00
2021,02,01,"1,511.60","1,572.00","1,580.00","1,511.60",275.00
2021,01,29,"1,518.00","1,500.00","1,519.80","1,494.60",310.00
2021,01,28,"1,500.20","1,547.60","1,549.60","1,487.80",441.00
2021,01,27,"1,585.00","1,520.00","1,586.20","1,503.00",344.00
2021,01,26,"1,555.00","1,567.20","1,568.80","1,547.60",268.00
2021,01,25,"1,572.80","1,536.00","1,584.40","1,534.80",651.00
2021,01,22,"1,541.00","1,557.00","1,563.20","1,537.00",525.00
