datum,Baugewerbe,Bergbau,Dienstleistungen,Energieversorgung,Erziehung,Finanzleistungen,Gastgewerbe,IT,Manufaktur,Sonstiges,Sozialwesen,Verkehr,Wohnungswesen
2015-02-01 00:00:00 UTC,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01 00:00:00 UTC,5,0,8,0,0,1,4,0,3,0,2,5,1
2018-12-01 00:00:00 UTC,5,0,4,0,0,1,3,1,3,1,2,3,1
2020-06-01 00:00:00 UTC,5,0,4,0,0,2,5,1,3,2,2,3,1
2020-08-01 00:00:00 UTC,5,0,3,0,0,0,3,0,5,1,1,2,1
2016-12-01 00:00:00 UTC,6,0,8,0,0,3,7,2,4,1,0,4,3
2018-03-01 00:00:00 UTC,6,0,2,0,0,1,5,3,4,0,0,2,2
2020-07-01 00:00:00 UTC,6,0,4,0,0,0,4,1,2,0,1,2,1
2013-02-01 00:00:00 UTC,7,0,6,0,0,4,8,2,4,2,1,5,2
2017-12-01 00:00:00 UTC,7,0,8,0,0,2,2,3,1,2,2,4,1
2019-02-01 00:00:00 UTC,7,0,6,0,0,2,7,1,2,2,2,2,2
2019-07-01 00:00:00 UTC,7,0,8,1,0,1,1,2,2,1,2,5,3
2010-01-01 00:00:00 UTC,8,0,2,0,0,0,10,0,6,2,3,5,2
2012-10-01 00:00:00 UTC,8,0,8,2,0,1,5,2,8,0,7,6,5
2017-02-01 00:00:00 UTC,8,0,8,0,0,1,12,1,1,2,2,5,4
2018-09-01 00:00:00 UTC,8,0,2,1,0,3,5,2,1,0,2,6,0
2019-06-01 00:00:00 UTC,8,0,2,0,0,3,7,1,1,1,0,8,0
2013-07-01 00:00:00 UTC,9,0,6,0,0,1,5,1,4,1,3,3,2
2013-09-01 00:00:00 UTC,9,0,5,0,0,0,5,1,6,2,3,10,5
2017-08-01 00:00:00 UTC,9,0,2,0,0,1,6,0,0,1,1,5,0
2019-03-01 00:00:00 UTC,9,0,10,0,0,0,7,0,2,1,3,6,2
2012-08-01 00:00:00 UTC,10,0,5,0,0,1,5,1,2,0,1,3,1
2014-04-01 00:00:00 UTC,10,0,9,1,0,6,10,1,7,6,4,12,2
2008-02-01 00:00:00 UTC,11,0,4,0,0,1,3,1,4,4,6,7,2
2009-12-01 00:00:00 UTC,11,0,4,0,0,1,3,4,9,1,2,9,4
2011-08-01 00:00:00 UTC,11,0,4,0,0,0,8,2,5,5,4,7,1
2011-09-01 00:00:00 UTC,11,0,4,1,0,6,8,3,3,5,1,7,2
2013-03-01 00:00:00 UTC,11,0,5,0,0,3,2,1,8,2,1,9,2
2014-02-01 00:00:00 UTC,11,0,1,0,0,1,6,2,7,1,2,8,2
2016-03-01 00:00:00 UTC,11,0,19,1,0,2,10,3,3,5,2,12,3
2018-04-01 00:00:00 UTC,11,0,4,0,0,0,8,2,2,2,0,2,0
2020-04-01 00:00:00 UTC,11,0,4,0,0,1,4,1,6,0,2,5,0
2008-09-01 00:00:00 UTC,12,0,2,0,0,2,2,3,2,2,1,4,1
2010-11-01 00:00:00 UTC,12,0,5,0,0,0,10,3,10,2,2,4,2
2012-06-01 00:00:00 UTC,12,0,5,1,0,2,10,7,2,4,2,5,4
2015-12-01 00:00:00 UTC,12,1,6,1,0,6,6,1,2,2,1,12,2
2017-09-01 00:00:00 UTC,12,0,3,0,0,2,3,2,3,4,0,5,2
2020-05-01 00:00:00 UTC,12,0,2,0,0,0,7,0,3,0,0,3,1
2011-02-01 00:00:00 UTC,13,0,6,0,0,1,2,4,6,0,2,7,0
2013-10-01 00:00:00 UTC,13,0,4,1,0,1,6,2,4,2,6,3,2
2015-01-01 00:00:00 UTC,13,0,3,1,0,2,7,3,6,2,1,4,0
2015-11-01 00:00:00 UTC,13,0,6,0,0,3,11,0,2,1,1,5,4
2016-07-01 00:00:00 UTC,13,0,4,0,0,4,6,2,7,1,3,7,3
2016-09-01 00:00:00 UTC,13,0,7,0,0,2,5,2,2,0,1,7,0
2019-04-01 00:00:00 UTC,13,0,6,0,0,1,4,1,3,2,2,6,0
2010-07-01 00:00:00 UTC,14,0,4,0,0,3,9,3,8,1,2,6,2
2016-05-01 00:00:00 UTC,14,0,9,0,0,3,11,3,6,1,1,8,1
2017-11-01 00:00:00 UTC,14,0,6,1,0,3,4,1,2,4,4,2,1
2009-04-01 00:00:00 UTC,15,0,3,0,0,1,10,1,5,4,0,9,1
2009-09-01 00:00:00 UTC,15,0,9,0,0,2,10,3,14,1,2,5,0
2013-08-01 00:00:00 UTC,15,0,9,0,0,2,6,0,5,1,1,12,1
2015-03-01 00:00:00 UTC,15,0,5,1,0,2,12,2,2,1,4,3,5
2018-08-01 00:00:00 UTC,15,0,9,0,0,2,6,3,4,4,1,3,2
2009-01-01 00:00:00 UTC,16,0,1,0,0,2,8,1,4,2,4,6,3
2009-11-01 00:00:00 UTC,16,0,4,0,0,4,9,1,8,1,2,8,2
2011-04-01 00:00:00 UTC,16,0,4,0,0,3,1,2,4,3,4,4,2
2012-09-01 00:00:00 UTC,16,0,6,0,0,1,7,2,1,1,0,8,1
2013-12-01 00:00:00 UTC,16,0,5,2,0,0,6,0,8,3,2,7,5
2016-06-01 00:00:00 UTC,16,0,8,0,0,2,8,3,2,4,0,6,2
2012-01-01 00:00:00 UTC,17,0,8,3,0,2,3,3,6,1,3,6,1
2012-05-01 00:00:00 UTC,17,0,9,0,0,3,6,2,4,4,1,8,3
2016-11-01 00:00:00 UTC,17,0,3,1,0,3,3,1,2,0,4,11,2
2009-05-01 00:00:00 UTC,18,0,9,0,0,1,11,3,3,4,3,4,1
2013-05-01 00:00:00 UTC,18,0,7,0,0,0,4,0,6,5,2,3,1
2017-04-01 00:00:00 UTC,19,0,8,0,0,1,1,1,2,3,2,10,0
2008-11-01 00:00:00 UTC,21,0,8,0,0,1,6,7,3,6,4,8,9
2008-04-01 00:00:00 UTC,22,0,1,0,0,7,5,0,5,2,2,7,1
2008-05-01 00:00:00 UTC,22,0,3,0,0,0,2,2,1,2,2,7,2
2014-10-01 00:00:00 UTC,4,0,3,2,2,0,7,2,3,5,2,4,0
2020-03-01 00:00:00 UTC,4,0,2,0,2,0,7,1,5,0,2,4,0
2009-10-01 00:00:00 UTC,5,0,6,0,2,7,9,2,3,3,3,5,4
2015-04-01 00:00:00 UTC,6,0,7,0,2,1,9,2,6,4,4,6,1
2015-05-01 00:00:00 UTC,6,0,9,0,2,4,6,2,8,2,2,7,0
2014-06-01 00:00:00 UTC,8,0,4,4,2,3,5,1,3,1,1,10,2
2012-11-01 00:00:00 UTC,9,0,6,0,2,3,7,2,4,2,1,7,3
2014-03-01 00:00:00 UTC,9,0,5,1,2,3,7,4,7,3,0,9,1
2014-05-01 00:00:00 UTC,10,0,6,1,2,8,11,3,3,1,2,8,2
